Mouvements touristiques des Suisses à l'étranger;;;;;;;;;;;;;;;;;;;;;;;;T 10.4.21.5
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Destinations;;Entrées aux frontières / Arrivées 1);;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002 p
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total en milliers 2);;5 560,0 ;5 320,0 ;5 470,0 ;5 785,0 ;6 000,0 ;6 290,0 ;6 495,0 ;7 000,0 ;9 743,9 ;10 265,2 ;9 627,1 ;9 770,7 ;9 832,4 ;9 619,8 ;10 490,3 ;11 148,2 ;12 060,8 ;12 515,1 ;11 890,6 ;11 814,6 ;12 240,2 ;11 554,2 ;11 426,6 
;;;;;;;;;;;;;;;;;;;;;;;;
Tunisie;AF;38 703 ;41 143 ;45 623 ;38 229 ;35 445 ;39 427 ;33 950 ;43 764 ;43 759 ;43 508 ;48 220 ;27 506 ;45 369 ;64 189 ;76 407 ;74 539 ;75 478 ;86 609 ;84 247 ;110 202 ;118 448 ;114 200 ;93 900 
;;;;;;;;;;;;;;;;;;;;;;;;
Amérique;;;;;;;;;;;;;;;;;;;;;;;;
Canada;AF;44 700 ;44 000 ;42 800 ;42 500 ;46 600 ;49 000 ;59 600 ;70 200 ;83 500 ;81 900 ;86 400 ;82 223 ;80 071 ;83 448 ;88 600 ;101 400 ;107 799 ;101 100 ;103 752 ;100 513 ;103 380 ;96 615 ;88 991 
Etats-Unis;AF;185 000 ;160 000 ;162 000 ;150 114 ;156 157 ;149 073 ;182 836 ;239 299 ;282 588 ;274 885 ;293 700 ;304 541 ;321 725 ;341 591 ;366 462 ;396 801 ;417 064 ;410 209 ;410 900 ;405 626 ;395 031 ;310 826 ;253 940 
;;;;;;;;;;;;;;;;;;;;;;;;
Asie;;;;;;;;;;;;;;;;;;;;;;;;
Hong Kong;AF;20 434 ;21 893 ;22 155 ;24 123 ;25 842 ;30 963 ;33 571 ;37 644 ;44 481 ;41 051 ;39 459 ;44 999 ;50 709 ;57 061 ;58 996 ;60 729 ;70 146 ;53 574 ;33 619 ;36 181 ;38 169 ;35 131 ;33 303 
Thaïlande;AF;24 451 ;22 999 ;23 106 ;23 165 ;25 387 ;30 725 ;38 665 ;47 964 ;62 491 ;75 320 ;81 051 ;81 310 ;79 605 ;86 567 ;94 099 ;103 272 ;110 459 ;97 253 ;110 057 ;108 632 ;114 030 ;122 701 ;128 529 
;;;;;;;;;;;;;;;;;;;;;;;;
1) AA: arrivées dans toutes les formes d'hébergement;;;;;;;;;;;;;;;;;;;;;;;;
AF: arrivées à la frontière;;;;;;;;;;;;;;;;;;;;;;;;
2) A partir de 1988, nouvelle méthode de calcul ;;;;;;;;;;;;;;;;;;;;;;;;
3) A partir de 1992, nouvelle méthode de calcul;;;;;;;;;;;;;;;;;;;;;;;;
4) 1996/97: estimation;;;;;;;;;;;;;;;;;;;;;;;;
5) A partir de 1998, nouvelle méthode de calcul ;;;;;;;;;;;;;;;;;;;;;;;;
6) A partir de 1996, nouvelle méthode de calcul;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Office fédéral de la statistique, Les touristes suisses à l'étranger;;;;;;;;;;;;;;;;;;;;;;;;
Renseignements: Tel. 032 713 62 80, info-tour@bfs.admin.ch;;;;;;;;;;;;;;;;;;;;;;;;
© OFS - Encyclopédie statistique de la Suisse;;;;;;;;;;;;;;;;;;;;;;;;
